churn,age,housing,credit_score,deposits,withdrawal,purchases_partners,purchases,cc_taken,web_user,app_web_user,ios_user,registered_phones,payment_type,cancelled_loan,received_loan,rejected_loan,left_for_two_month_plus,left_for_one_month,reward_rate
0,37.0,na,0.0,0,0,0,0,0,1,1,1,0,Bi-Weekly,0,0,0,1,0,0.0
0,28.0,R,486.0,0,0,1,0,0,1,1,1,0,Weekly,0,0,0,0,0,1.47
0,35.0,R,561.0,47,2,86,47,0,0,0,0,2,Semi-Monthly,0,0,0,1,0,2.17
0,26.0,R,567.0,26,3,38,25,0,0,0,0,0,Bi-Weekly,0,0,0,0,0,1.1
1,27.0,na,0.0,0,0,2,0,0,1,1,0,0,Bi-Weekly,0,0,0,1,0,0.03
1,32.0,R,567.0,5,3,111,5,0,1,1,0,0,Bi-Weekly,0,0,0,0,0,1.83
0,21.0,na,475.0,0,0,4,0,0,0,0,0,0,Bi-Weekly,0,0,0,0,0,0.06999999999999999
0,24.0,na,0.0,0,0,2,0,0,0,0,0,0,na,0,0,0,0,0,0.11
0,28.0,R,548.0,0,0,0,0,2,1,1,1,0,Bi-Weekly,0,0,0,0,0,0.87
0,23.0,na,658.0,1,0,87,1,0,1,1,1,0,Bi-Weekly,0,0,0,0,0,1.0699999999999998
0,32.0,R,0.0,0,0,30,0,0,1,1,1,0,Monthly,0,0,0,0,0,0.83
0,41.0,O,625.0,14,0,116,13,0,1,1,1,0,Semi-Monthly,0,0,0,0,0,2.17
0,20.0,na,550.0,0,0,135,0,0,1,1,1,5,Bi-Weekly,0,0,0,0,0,2.2
0,27.0,O,567.0,2,1,48,2,0,1,1,0,0,Weekly,0,0,0,0,0,1.0
0,47.0,na,0.0,11,1,20,11,0,1,1,1,0,Bi-Weekly,0,0,0,0,0,0.6900000000000001
1,44.0,na,0.0,0,0,0,0,1,0,0,0,2,Semi-Monthly,0,0,0,0,0,0.06999999999999999
1,24.0,na,479.0,6,2,24,6,0,0,0,0,0,Weekly,0,0,0,0,0,0.9
0,31.0,R,565.0,17,2,62,17,0,1,1,0,0,na,0,0,0,0,0,1.4300000000000002
0,20.0,na,0.0,0,0,0,0,0,1,1,0,0,Monthly,0,0,0,1,0,0.0
1,30.0,na,0.0,2,1,0,2,0,1,1,0,0,Bi-Weekly,0,0,0,1,0,0.06999999999999999
1,59.0,na,0.0,0,0,0,0,0,1,0,0,0,Bi-Weekly,0,0,0,0,0,0.0
1,21.0,na,637.0,0,0,0,0,0,1,1,0,0,Bi-Weekly,0,0,0,0,0,0.0
0,37.0,R,627.0,0,0,39,0,0,1,1,1,2,na,1,0,0,0,0,1.33
1,30.0,R,505.0,6,0,11,6,0,0,0,0,2,Bi-Weekly,0,0,0,0,0,0.4
0,36.0,na,0.0,0,0,2,0,0,0,0,1,0,Bi-Weekly,0,0,0,0,0,0.5
1,44.0,O,551.0,0,0,0,0,3,1,1,1,0,Monthly,0,0,0,0,1,0.16999999999999998
1,52.0,na,518.0,0,0,0,0,0,1,1,1,0,Bi-Weekly,0,0,0,1,0,1.3
1,25.0,na,529.0,0,0,0,0,0,0,0,0,0,Monthly,0,0,0,0,0,0.47
1,22.0,na,508.0,0,0,0,0,1,0,0,1,0,Bi-Weekly,0,0,0,0,0,0.9
0,38.0,na,0.0,0,0,27,0,0,0,0,1,0,Bi-Weekly,0,0,0,0,0,1.0
0,29.0,na,575.0,0,0,1,0,0,0,0,0,0,Monthly,0,0,0,0,0,0.25
0,25.0,na,489.0,0,0,3,0,0,0,0,0,0,Bi-Weekly,0,0,0,0,0,0.14
1,36.0,na,582.0,0,0,83,0,0,1,1,1,0,Bi-Weekly,0,0,0,0,0,0.97
0,38.0,na,0.0,0,0,11,0,0,1,1,1,0,Bi-Weekly,0,0,0,0,0,0.27
0,45.0,R,610.0,48,0,76,48,0,1,1,0,0,Weekly,0,0,0,0,0,1.93
0,24.0,na,0.0,0,0,2,0,0,1,1,0,2,Monthly,0,0,0,0,0,0.03
1,31.0,na,600.0,0,0,0,0,0,1,1,1,2,Weekly,0,0,0,1,0,0.7
0,45.0,R,554.0,0,0,0,0,0,1,1,0,0,Bi-Weekly,0,0,0,0,0,1.97
0,28.0,R,597.0,0,0,0,0,0,1,1,0,0,Bi-Weekly,0,0,0,0,0,2.17
0,24.0,na,518.0,0,0,37,0,0,1,1,0,2,Bi-Weekly,0,0,0,0,0,0.77
1,42.0,na,449.0,0,0,0,0,0,1,1,0,0,na,0,0,0,0,0,0.23
0,27.0,R,590.0,0,0,0,0,2,1,1,0,0,na,0,0,0,0,0,2.23
0,26.0,R,647.0,0,0,57,0,0,1,1,0,0,Bi-Weekly,0,1,0,1,0,1.3
0,25.0,na,0.0,1,0,1,1,0,0,0,1,0,Weekly,0,0,0,0,0,0.0
0,32.0,R,440.0,0,0,87,0,0,1,1,0,0,Bi-Weekly,0,0,0,1,0,1.23
0,21.0,na,603.0,1,0,26,1,0,1,1,0,0,na,0,0,0,0,0,1.27
0,33.0,na,0.0,0,0,68,0,0,1,1,1,0,Bi-Weekly,0,0,0,0,0,1.6
1,38.0,R,519.0,12,2,79,12,0,1,1,1,4,na,0,0,0,0,0,1.23
0,29.0,R,634.0,2,0,57,2,0,0,0,0,0,Bi-Weekly,0,0,0,0,0,1.53
0,43.0,na,0.0,0,0,0,0,0,0,0,1,0,Bi-Weekly,0,0,0,0,0,0.06999999999999999
0,33.0,na,0.0,0,0,24,0,0,0,0,0,0,Bi-Weekly,0,0,0,0,0,0.37
1,24.0,R,529.0,3,0,56,3,0,1,1,0,0,Bi-Weekly,0,0,0,0,0,0.83
0,25.0,na,0.0,0,0,10,0,0,1,1,1,0,Weekly,0,0,0,0,0,0.2
1,19.0,O,0.0,0,0,1,0,0,1,1,0,0,Semi-Monthly,0,0,0,0,0,0.0
0,40.0,na,532.0,0,0,22,0,0,1,1,0,0,Weekly,1,0,0,0,0,0.5700000000000001
1,22.0,na,417.0,0,0,0,0,0,1,1,0,0,Bi-Weekly,0,0,0,0,0,0.06999999999999999
0,36.0,na,0.0,0,0,24,0,0,1,1,1,0,Bi-Weekly,0,0,0,0,0,0.62
0,27.0,na,0.0,0,0,0,0,0,1,0,0,0,Bi-Weekly,0,0,0,1,0,0.0
1,48.0,O,507.0,33,0,16,31,0,1,1,1,2,Bi-Weekly,0,0,0,0,0,1.5699999999999998
1,39.0,na,555.0,0,0,8,0,0,1,1,1,0,Bi-Weekly,0,0,0,0,0,0.13
0,32.0,R,503.0,0,0,59,0,2,1,1,1,0,na,0,0,0,0,0,2.23
0,25.0,na,0.0,0,0,2,0,0,0,0,0,0,Monthly,0,0,0,0,0,0.06999999999999999
0,49.0,na,0.0,5,1,19,5,0,0,0,1,0,Bi-Weekly,0,0,0,0,0,0.6900000000000001
1,25.0,na,506.0,14,5,23,14,0,0,0,1,0,Bi-Weekly,0,0,0,0,0,0.37
0,21.0,R,560.0,11,2,53,11,0,0,0,0,0,Bi-Weekly,0,0,0,0,0,0.93
1,30.0,O,604.0,1,1,48,1,0,1,1,0,0,Bi-Weekly,0,0,0,0,0,1.77
0,26.0,O,575.0,0,0,0,0,0,1,1,1,0,na,0,0,0,0,0,0.97
0,33.0,R,475.0,0,0,116,0,0,1,1,1,0,Bi-Weekly,0,0,0,0,0,2.03
1,30.0,na,537.0,0,0,0,0,0,1,1,1,2,Bi-Weekly,0,0,0,0,1,0.47
1,42.0,R,476.0,0,0,5,0,0,0,0,1,0,na,0,0,0,0,0,0.47
1,20.0,na,0.0,0,0,4,0,0,0,0,1,0,Bi-Weekly,0,0,0,0,0,0.06999999999999999
1,34.0,na,473.0,0,0,0,0,0,1,1,0,0,Weekly,0,0,0,0,0,0.67
0,26.0,R,527.0,10,0,37,10,0,0,0,1,5,Semi-Monthly,0,0,0,0,0,0.67
0,31.0,na,0.0,8,3,51,8,0,0,0,0,0,Bi-Weekly,0,0,0,0,0,0.8099999999999998
0,29.0,na,0.0,0,0,7,0,0,0,0,1,0,Bi-Weekly,0,0,0,0,0,0.46
0,30.0,R,595.0,13,0,89,12,0,1,1,0,0,Bi-Weekly,0,0,0,0,0,2.17
0,20.0,R,523.0,3,0,63,3,0,0,0,0,0,Bi-Weekly,0,0,0,0,0,1.23
1,23.0,na,452.0,0,0,0,0,0,1,1,0,0,Bi-Weekly,0,0,0,0,0,1.7
1,22.0,na,0.0,0,0,2,0,0,0,0,0,0,Semi-Monthly,0,0,0,0,0,0.0
0,48.0,na,511.0,0,0,0,0,0,0,0,1,0,Monthly,0,0,0,0,0,1.87
1,35.0,O,728.0,0,0,0,0,0,0,0,0,0,Monthly,0,0,0,0,0,2.0
0,46.0,R,494.0,7,2,57,7,0,1,1,0,0,Bi-Weekly,0,0,0,1,0,1.1
0,34.0,R,490.0,0,0,0,0,1,1,1,1,0,Bi-Weekly,0,0,0,0,0,2.1
0,23.0,na,521.0,0,0,1,0,0,0,0,0,0,Bi-Weekly,0,0,0,0,0,0.06
0,28.0,R,582.0,17,1,82,17,0,1,1,0,0,na,0,0,0,0,0,1.93
1,29.0,na,0.0,0,0,0,0,0,0,0,1,0,Weekly,0,0,0,0,0,0.5700000000000001
0,43.0,R,540.0,3,0,81,3,0,1,1,1,2,na,0,0,0,0,0,1.97
0,44.0,na,501.0,0,0,4,0,0,1,1,1,0,Bi-Weekly,0,0,0,0,0,0.1
0,33.0,R,597.0,0,0,140,0,0,1,1,0,0,Bi-Weekly,0,0,0,1,0,2.23
0,18.0,na,611.0,0,0,0,0,0,1,1,0,0,Bi-Weekly,0,0,0,0,0,0.0
1,22.0,na,0.0,0,0,0,0,0,1,1,0,0,Monthly,0,0,0,0,0,0.0
1,60.0,R,529.0,0,0,0,0,0,1,1,1,0,Monthly,0,0,0,0,0,0.63
0,39.0,na,529.0,24,1,69,24,0,1,1,0,0,na,0,0,0,0,0,1.87
1,35.0,na,618.0,0,0,0,0,0,1,1,1,0,Bi-Weekly,0,0,0,1,0,0.63
0,43.0,na,0.0,2,1,10,2,0,1,1,1,0,Bi-Weekly,0,0,0,0,0,0.0
0,32.0,na,466.0,0,0,0,0,0,1,1,0,0,na,0,0,0,0,0,0.0
0,26.0,na,536.0,0,0,36,0,0,1,1,0,0,na,0,0,0,0,0,1.23
1,26.0,R,500.0,1,0,27,1,0,0,0,0,3,Weekly,0,0,0,0,0,1.33
0,24.0,R,679.0,3,1,82,3,0,0,0,0,0,Bi-Weekly,0,0,0,0,0,1.87
1,31.0,R,0.0,0,0,0,0,0,1,1,1,0,Bi-Weekly,0,0,0,1,0,1.17
1,25.0,na,0.0,0,0,0,0,0,0,0,1,0,Bi-Weekly,0,0,0,0,0,0.0
1,38.0,na,524.0,0,0,0,0,0,0,0,1,0,Bi-Weekly,0,0,0,0,0,0.4
0,32.0,na,0.0,3,0,7,3,0,1,1,1,0,Bi-Weekly,0,0,0,0,0,0.5700000000000001
0,33.0,na,0.0,0,0,128,0,0,1,1,0,0,Bi-Weekly,0,0,0,1,0,1.97
0,32.0,R,500.0,24,6,36,24,0,1,1,1,2,Bi-Weekly,0,0,0,0,0,0.97
0,47.0,na,522.0,0,0,1,0,0,0,0,0,0,Bi-Weekly,0,0,0,1,0,0.0
0,26.0,R,556.0,1,0,56,1,0,0,0,0,2,na,0,0,0,0,0,1.8
1,26.0,na,0.0,0,0,3,0,0,0,0,1,0,Weekly,0,0,0,0,0,0.0
0,26.0,na,559.0,0,0,31,0,0,0,0,1,2,Bi-Weekly,0,0,0,0,0,0.67
0,33.0,na,556.0,0,0,32,0,0,0,0,0,0,Bi-Weekly,0,0,0,0,0,0.8
1,35.0,na,413.0,0,0,102,0,0,1,1,1,0,Bi-Weekly,0,0,0,0,0,1.17
1,22.0,na,459.0,0,0,2,0,0,0,0,0,0,Bi-Weekly,0,0,0,0,0,0.0
1,27.0,R,528.0,0,0,10,0,0,1,1,0,0,Bi-Weekly,0,0,0,0,0,0.8
0,27.0,na,544.0,0,0,7,0,0,0,0,0,0,Bi-Weekly,0,0,0,0,0,0.2
0,24.0,R,522.0,2,2,50,2,0,0,0,0,0,na,0,0,0,0,0,1.03
0,21.0,na,545.0,0,0,7,0,0,0,0,0,0,Monthly,0,0,0,0,0,1.0
0,25.0,R,485.0,2,0,22,2,0,1,1,0,2,Bi-Weekly,0,0,0,1,0,0.27
1,26.0,R,545.0,10,1,14,10,0,0,0,0,0,na,0,0,0,0,0,0.4
0,27.0,R,481.0,0,0,1,0,0,0,0,0,0,Weekly,0,0,0,1,0,1.1
0,42.0,na,0.0,0,0,0,0,0,1,1,0,0,Bi-Weekly,0,0,0,0,0,0.0
0,22.0,na,0.0,0,0,0,0,0,0,0,0,0,Bi-Weekly,0,0,0,0,0,0.0
1,22.0,R,440.0,9,2,107,9,0,1,1,0,0,Bi-Weekly,0,0,0,0,0,1.3
1,36.0,na,0.0,0,0,0,0,2,1,1,1,2,Weekly,0,0,0,0,0,0.7
0,52.0,na,543.0,0,0,40,0,0,1,1,1,0,Semi-Monthly,0,0,0,0,0,0.93
1,27.0,na,0.0,0,0,12,0,0,1,1,1,0,Weekly,0,0,0,1,0,0.4400000000000001
0,25.0,na,413.0,0,0,25,0,0,1,1,0,0,na,0,0,0,0,0,0.4
0,32.0,na,441.0,0,0,23,0,0,0,0,1,0,Bi-Weekly,0,0,0,0,0,0.37
0,30.0,na,461.0,41,0,27,41,0,1,1,0,0,Weekly,0,0,0,0,0,1.87
1,23.0,R,636.0,6,4,59,6,0,1,1,0,2,Bi-Weekly,0,0,0,0,0,1.86
0,26.0,R,607.0,5,1,93,5,0,0,0,0,0,na,0,0,0,0,0,2.17
1,29.0,R,0.0,0,0,0,0,0,0,0,0,0,Weekly,0,0,0,0,0,1.7
0,36.0,na,0.0,0,0,2,0,0,0,0,0,2,na,0,0,0,0,0,0.4
1,26.0,R,545.0,3,0,38,3,0,0,0,0,0,na,0,0,0,0,0,1.0
0,20.0,R,555.0,1,0,72,1,0,1,1,0,0,Bi-Weekly,0,0,0,0,0,1.03
0,32.0,na,545.0,6,0,24,6,0,1,1,0,0,na,0,0,0,0,0,0.58
1,45.0,R,552.0,0,0,0,0,0,1,1,1,2,Bi-Weekly,0,0,0,0,0,0.1
0,25.0,O,614.0,0,0,67,0,0,1,1,0,0,Bi-Weekly,0,0,0,1,0,2.03
0,35.0,R,528.0,15,0,3,15,1,1,1,0,0,Bi-Weekly,0,0,0,0,0,2.17
0,28.0,O,0.0,0,0,90,0,0,0,0,0,0,Semi-Monthly,0,0,0,0,0,1.83
1,22.0,na,555.0,0,0,0,0,0,1,1,1,2,Bi-Weekly,0,1,0,0,0,1.5699999999999998
0,28.0,na,527.0,59,0,63,55,0,1,1,0,0,Bi-Weekly,0,0,0,0,0,2.23
0,20.0,na,501.0,0,0,5,0,0,0,0,0,0,Semi-Monthly,0,0,0,0,0,0.27
1,30.0,R,580.0,0,0,34,0,0,0,0,0,2,Weekly,0,0,0,0,0,0.63
0,40.0,O,453.0,8,0,52,8,0,1,1,1,0,na,0,0,0,1,0,2.23
0,31.0,O,0.0,0,0,0,0,0,0,0,0,0,Bi-Weekly,0,0,0,0,0,1.4
1,27.0,O,522.0,1,0,13,1,0,0,0,0,0,Bi-Weekly,0,0,0,0,0,0.16999999999999998
1,36.0,R,587.0,0,0,0,0,0,1,1,1,2,Bi-Weekly,0,0,0,0,0,2.13
0,36.0,R,590.0,0,0,8,0,0,1,1,1,2,Bi-Weekly,0,0,0,0,0,0.13
1,30.0,R,437.0,2,0,62,2,0,1,1,1,0,Bi-Weekly,0,0,0,0,0,0.63
0,42.0,R,512.0,2,0,47,2,0,1,1,1,2,na,0,0,0,1,0,1.87
0,72.0,na,554.0,0,0,0,0,0,1,1,0,0,Monthly,0,0,0,0,0,0.0
1,23.0,na,463.0,0,0,12,0,0,0,0,0,2,Bi-Weekly,0,0,0,0,0,0.4
1,39.0,R,463.0,8,3,76,8,0,0,0,1,0,Weekly,0,0,0,0,0,0.53
1,38.0,R,472.0,0,0,0,0,0,1,1,1,0,Monthly,0,0,0,0,0,0.77
1,38.0,na,550.0,0,0,0,0,0,1,1,0,0,Bi-Weekly,0,0,0,0,0,0.5700000000000001
0,37.0,R,587.0,0,0,0,0,1,1,1,1,2,Bi-Weekly,0,0,0,0,0,2.1
1,26.0,na,0.0,0,0,0,0,0,0,0,0,0,Bi-Weekly,0,0,0,1,0,0.47
0,20.0,na,655.0,0,0,47,0,0,0,0,0,0,Bi-Weekly,0,0,0,0,0,1.13
1,56.0,na,511.0,1,0,37,1,0,1,1,1,2,Weekly,0,0,0,1,0,0.53
1,29.0,na,0.0,11,2,99,11,0,1,1,1,2,na,0,0,0,0,0,1.03
0,19.0,R,503.0,1,0,102,1,0,1,1,1,5,na,0,0,0,0,0,1.93
1,48.0,na,517.0,0,0,0,0,0,1,1,1,0,Weekly,0,0,0,1,0,0.0
1,39.0,na,490.0,2,0,1,2,0,0,0,0,0,Bi-Weekly,0,0,0,1,0,0.47
