age,credit_score,deposits,withdrawal,purchases_partners,purchases,cc_taken,web_user,app_web_user,ios_user,registered_phones,cancelled_loan,received_loan,rejected_loan,left_for_two_month_plus,left_for_one_month,reward_rate,housing_O,housing_R,payment_type_Bi-Weekly,payment_type_Monthly,payment_type_Semi-Monthly,payment_type_Weekly
39.0,537.0,0,0,0,0,4,1,1,1,0,0,1,0,0,0,2.2,0,1,1,0,0,0
20.0,519.0,19,1,54,12,0,1,1,1,2,0,0,0,0,0,0.9,0,1,0,0,0,0
37.0,505.0,16,1,16,16,0,1,1,0,0,0,0,0,0,0,0.47,1,0,1,0,0,0
27.0,0.0,0,0,5,0,0,1,1,0,0,0,0,0,0,0,0.06999999999999999,0,1,1,0,0,0
23.0,604.0,1,0,52,1,0,0,0,1,2,0,0,0,0,0,1.0699999999999998,0,0,0,0,0,1
35.0,489.0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0.06999999999999999,0,0,0,0,1,0
29.0,554.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.53,0,0,0,0,0,1
32.0,587.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
28.0,527.0,3,1,47,3,0,1,1,1,0,0,0,0,0,0,0.4,0,1,0,0,0,0
18.0,688.0,6,1,70,6,0,1,1,0,0,0,0,0,0,0,0.65,0,1,1,0,0,0
33.0,554.0,0,0,42,0,0,1,1,1,2,0,0,0,0,0,0.33,0,1,0,0,0,0
35.0,0.0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0.06999999999999999,0,0,0,0,0,0
40.0,511.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1.5699999999999998,1,0,1,0,0,0
22.0,526.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87,0,1,1,0,0,0
24.0,484.0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0.23,0,0,0,0,0,1
30.0,530.0,0,0,13,0,0,1,1,0,2,0,0,0,1,0,0.16999999999999998,0,0,0,0,1,0
