churn,age,credit_score,deposits,withdrawal,purchases_partners,purchases,cc_taken,web_user,app_web_user,ios_user,registered_phones,cancelled_loan,received_loan,rejected_loan,left_for_two_month_plus,left_for_one_month,reward_rate,housing_O,housing_R,housing_na,payment_type_Bi-Weekly,payment_type_Monthly,payment_type_Semi-Monthly,payment_type_Weekly,payment_type_na
0,37.0,0.0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0.0,0,0,1,1,0,0,0,0
0,28.0,486.0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1.47,0,1,0,0,0,0,1,0
0,35.0,561.0,47,2,86,47,0,0,0,0,2,0,0,0,1,0,2.17,0,1,0,0,0,1,0,0
0,26.0,567.0,26,3,38,25,0,0,0,0,0,0,0,0,0,0,1.1,0,1,0,1,0,0,0,0
1,27.0,0.0,0,0,2,0,0,1,1,0,0,0,0,0,1,0,0.03,0,0,1,1,0,0,0,0
1,32.0,567.0,5,3,111,5,0,1,1,0,0,0,0,0,0,0,1.83,0,1,0,1,0,0,0,0
0,21.0,475.0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0.06999999999999999,0,0,1,1,0,0,0,0
0,24.0,0.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,1,0,0,0,0,1
0,28.0,548.0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0.87,0,1,0,1,0,0,0,0
0,23.0,658.0,1,0,87,1,0,1,1,1,0,0,0,0,0,0,1.0699999999999998,0,0,1,1,0,0,0,0
0,32.0,0.0,0,0,30,0,0,1,1,1,0,0,0,0,0,0,0.83,0,1,0,0,1,0,0,0
0,41.0,625.0,14,0,116,13,0,1,1,1,0,0,0,0,0,0,2.17,1,0,0,0,0,1,0,0
0,20.0,550.0,0,0,135,0,0,1,1,1,5,0,0,0,0,0,2.2,0,0,1,1,0,0,0,0
0,27.0,567.0,2,1,48,2,0,1,1,0,0,0,0,0,0,0,1.0,1,0,0,0,0,0,1,0
0,47.0,0.0,11,1,20,11,0,1,1,1,0,0,0,0,0,0,0.6900000000000001,0,0,1,1,0,0,0,0
1,44.0,0.0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0.06999999999999999,0,0,1,0,0,1,0,0
1,24.0,479.0,6,2,24,6,0,0,0,0,0,0,0,0,0,0,0.9,0,0,1,0,0,0,1,0
0,31.0,565.0,17,2,62,17,0,1,1,0,0,0,0,0,0,0,1.4300000000000002,0,1,0,0,0,0,0,1
0,20.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0.0,0,0,1,0,1,0,0,0
1,30.0,0.0,2,1,0,2,0,1,1,0,0,0,0,0,1,0,0.06999999999999999,0,0,1,1,0,0,0,0
1,59.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,1,1,0,0,0,0
1,21.0,637.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.0,0,0,1,1,0,0,0,0
0,37.0,627.0,0,0,39,0,0,1,1,1,2,1,0,0,0,0,1.33,0,1,0,0,0,0,0,1
1,30.0,505.0,6,0,11,6,0,0,0,0,2,0,0,0,0,0,0.4,0,1,0,1,0,0,0,0
0,36.0,0.0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0.5,0,0,1,1,0,0,0,0
1,44.0,551.0,0,0,0,0,3,1,1,1,0,0,0,0,0,1,0.16999999999999998,1,0,0,0,1,0,0,0
1,52.0,518.0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1.3,0,0,1,1,0,0,0,0
1,25.0,529.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47,0,0,1,0,1,0,0,0
1,22.0,508.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.9,0,0,1,1,0,0,0,0
0,38.0,0.0,0,0,27,0,0,0,0,1,0,0,0,0,0,0,1.0,0,0,1,1,0,0,0,0
0,29.0,575.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,1,0,1,0,0,0
0,25.0,489.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,1,1,0,0,0,0
1,36.0,582.0,0,0,83,0,0,1,1,1,0,0,0,0,0,0,0.97,0,0,1,1,0,0,0,0
0,38.0,0.0,0,0,11,0,0,1,1,1,0,0,0,0,0,0,0.27,0,0,1,1,0,0,0,0
0,45.0,610.0,48,0,76,48,0,1,1,0,0,0,0,0,0,0,1.93,0,1,0,0,0,0,1,0
0,24.0,0.0,0,0,2,0,0,1,1,0,2,0,0,0,0,0,0.03,0,0,1,0,1,0,0,0
1,31.0,600.0,0,0,0,0,0,1,1,1,2,0,0,0,1,0,0.7,0,0,1,0,0,0,1,0
0,45.0,554.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1.97,0,1,0,1,0,0,0,0
0,28.0,597.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2.17,0,1,0,1,0,0,0,0
0,24.0,518.0,0,0,37,0,0,1,1,0,2,0,0,0,0,0,0.77,0,0,1,1,0,0,0,0
1,42.0,449.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.23,0,0,1,0,0,0,0,1
0,27.0,590.0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,2.23,0,1,0,0,0,0,0,1
0,26.0,647.0,0,0,57,0,0,1,1,0,0,0,1,0,1,0,1.3,0,1,0,1,0,0,0,0
0,25.0,0.0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0.0,0,0,1,0,0,0,1,0
0,32.0,440.0,0,0,87,0,0,1,1,0,0,0,0,0,1,0,1.23,0,1,0,1,0,0,0,0
0,21.0,603.0,1,0,26,1,0,1,1,0,0,0,0,0,0,0,1.27,0,0,1,0,0,0,0,1
0,33.0,0.0,0,0,68,0,0,1,1,1,0,0,0,0,0,0,1.6,0,0,1,1,0,0,0,0
1,38.0,519.0,12,2,79,12,0,1,1,1,4,0,0,0,0,0,1.23,0,1,0,0,0,0,0,1
0,29.0,634.0,2,0,57,2,0,0,0,0,0,0,0,0,0,0,1.53,0,1,0,1,0,0,0,0
0,43.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.06999999999999999,0,0,1,1,0,0,0,0
0,33.0,0.0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,1,1,0,0,0,0
1,24.0,529.0,3,0,56,3,0,1,1,0,0,0,0,0,0,0,0.83,0,1,0,1,0,0,0,0
0,25.0,0.0,0,0,10,0,0,1,1,1,0,0,0,0,0,0,0.2,0,0,1,0,0,0,1,0
1,19.0,0.0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0.0,1,0,0,0,0,1,0,0
0,40.0,532.0,0,0,22,0,0,1,1,0,0,1,0,0,0,0,0.5700000000000001,0,0,1,0,0,0,1,0
1,22.0,417.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.06999999999999999,0,0,1,1,0,0,0,0
0,36.0,0.0,0,0,24,0,0,1,1,1,0,0,0,0,0,0,0.62,0,0,1,1,0,0,0,0
0,27.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.0,0,0,1,1,0,0,0,0
1,48.0,507.0,33,0,16,31,0,1,1,1,2,0,0,0,0,0,1.5699999999999998,1,0,0,1,0,0,0,0
1,39.0,555.0,0,0,8,0,0,1,1,1,0,0,0,0,0,0,0.13,0,0,1,1,0,0,0,0
0,32.0,503.0,0,0,59,0,2,1,1,1,0,0,0,0,0,0,2.23,0,1,0,0,0,0,0,1
0,25.0,0.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.06999999999999999,0,0,1,0,1,0,0,0
0,49.0,0.0,5,1,19,5,0,0,0,1,0,0,0,0,0,0,0.6900000000000001,0,0,1,1,0,0,0,0
1,25.0,506.0,14,5,23,14,0,0,0,1,0,0,0,0,0,0,0.37,0,0,1,1,0,0,0,0
0,21.0,560.0,11,2,53,11,0,0,0,0,0,0,0,0,0,0,0.93,0,1,0,1,0,0,0,0
1,30.0,604.0,1,1,48,1,0,1,1,0,0,0,0,0,0,0,1.77,1,0,0,1,0,0,0,0
0,26.0,575.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0.97,1,0,0,0,0,0,0,1
0,33.0,475.0,0,0,116,0,0,1,1,1,0,0,0,0,0,0,2.03,0,1,0,1,0,0,0,0
1,30.0,537.0,0,0,0,0,0,1,1,1,2,0,0,0,0,1,0.47,0,0,1,1,0,0,0,0
1,42.0,476.0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0.47,0,1,0,0,0,0,0,1
1,20.0,0.0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0.06999999999999999,0,0,1,1,0,0,0,0
1,34.0,473.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.67,0,0,1,0,0,0,1,0
0,26.0,527.0,10,0,37,10,0,0,0,1,5,0,0,0,0,0,0.67,0,1,0,0,0,1,0,0
0,31.0,0.0,8,3,51,8,0,0,0,0,0,0,0,0,0,0,0.8099999999999998,0,0,1,1,0,0,0,0
0,29.0,0.0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0.46,0,0,1,1,0,0,0,0
0,30.0,595.0,13,0,89,12,0,1,1,0,0,0,0,0,0,0,2.17,0,1,0,1,0,0,0,0
0,20.0,523.0,3,0,63,3,0,0,0,0,0,0,0,0,0,0,1.23,0,1,0,1,0,0,0,0
